Time Energy_LWR_A	Energy_LWR_B	Energy_SFR_A	Energy_SFR_B	Capacity_LWR_A	Capacity_LWR_B	Capacity_SFR_A	Capacity_SFR_B	built_LWR_A	built_LWR_B	built_SFR_A	built_SFR_B	FreshFuel_LWR_A	FreshFuel_LWR_B	FreshFuel_SFR_A	FreshFuel_SFR_B	Separation_LWR_A	Separation_LWR_B	Separation_SFR_A	Separation_SFR_B	Cooling_LWR_A	Cooling_LWR_B	Cooling_SFR_A	Cooling_SFR_B	Storage_LWR_A	Storage_LWR_B	Storage_SFR_A	Storage_SFR_B	EnrichFeed	EnrichSWU	retired_LWR_A	retired_LWR_B	retired_SFR_A	retired_SFR_B	stored_Pu	stored_MA	depleted_U	Recycled_U	wasted_U	wasted_Pu	wasted_MA	wasted_FP	
2015 0 0 0 0 0 0 0 0 0 1 0 0 0 88.695 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0 -0 -0 -0 0 0 0 0 0 0 0 0 
2016 0 0.9 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0 -0 -0 -0 57.3667 182.647 797.798 843.493 0 0 0 0 
2017 0 0.9 0 0 0 1 0 0 0 0 0 0 0 29.565 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0 -0 -0 -0 57.3667 182.647 797.798 843.493 0 0 0 0 
2018 0 0.9 0 0 0 1 0 0 0 0 0 0 0 29.565 0 0 0 0 0 0 0 29.565 0 0 0 0 0 0 0 0 -0 -0 -0 -0 55.793 181.743 793.85 820.353 0 0 0 0 
2019 0 0.9 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 59.13 0 0 0 0 0 0 0 0 -0 -0 -0 -0 54.2192 180.84 789.903 797.213 0 0 0 0 
2020 0 0.9 0 0 0 1 0 0 0 0 0 0 0 29.565 0 0 0 0 0 0 0 59.13 0 0 0 0 0 0 0 0 -0 -0 -0 -0 54.2192 180.84 789.903 797.213 0 0 0 0 
2021 0 0.9 0 0 0 1 0 0 0 0 0 0 0 29.565 0 0 0 0 0 0 0 88.695 0 0 0 0 0 0 0 0 -0 -0 -0 -0 52.6455 179.936 785.955 774.074 0 0 0 0 
2022 0 0.9 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 118.26 0 0 0 0 0 0 0 0 -0 -0 -0 -0 51.0717 179.032 782.007 750.934 0 0 0 0 
2023 0 0.9 0 0 0 1 0 0 0 0 0 0 0 29.565 0 0 0 0 0 0 0 118.26 0 0 0 0 0 0 0 0 -0 -0 -0 -0 51.0717 179.032 782.007 750.934 0 0 0 0 
2024 0 0.9 0 0 0 1 0 0 0 0 0 0 0 29.565 0 0 0 29.565 0 0 0 147.825 0 0 0 0 0 0 0 0 -0 -0 -0 -0 49.498 178.128 778.059 727.794 0 0 0 0 
